Time,Cosm,Predator,Sex,Temperature,Adults,Larvae,Adult_cumulative,MR,Comment
0,1,frog,M,17.5,0,50,0,0,
0,2,newt,F,17.5,0,50,0,0,
0,3,control,O,17.5,0,50,0,0,
0,4,newt,F,17.5,0,50,0,0,
0,5,newt,M,17.5,0,50,0,0,
0,6,newt,F,17.5,0,50,0,0,
0,7,frog,M,17.5,0,50,0,0,
0,8,frog,M,17.5,0,50,0,0,
0,9,control,O,17.5,0,50,0,0,
0,10,control,O,20,0,50,0,0,
0,11,control,O,19.5,0,50,0,0,
0,12,frog,M,19,0,50,0,0,
0,13,control,O,19,0,50,0,0,
0,14,control,O,18.5,0,50,0,0,
0,15,newt,F,18,0,50,0,0,
0,16,control,O,18,0,50,0,0,
0,17,frog,F,17.5,0,50,0,0,
0,18,frog,M,17.5,0,50,0,0,
0,19,frog,M,17,0,50,0,0,
0,20,newt,F,17,0,50,0,0,
0,21,control,O,17,0,50,0,0,
0,22,newt,M,16.5,0,50,0,0,
0,23,newt,F,16.5,0,50,0,0,
0,24,frog,F,16.5,0,50,0,0,
0,25,control,O,16.5,0,50,0,0,
0,26,frog,F,16,0,50,0,0,
0,27,control,O,16,0,50,0,0,
0,28,newt,F,16.5,0,50,0,0,
0,29,control,O,16.5,0,50,0,0,
0,30,control,O,16.5,0,50,0,0,
0,31,frog,M,16.5,0,50,0,0,
0,32,newt,F,16.5,0,50,0,0,
0,33,control,O,16.5,0,50,0,0,
0,34,frog,F,16.5,0,50,0,0,
0,35,newt,F,16.5,0,50,0,0,
0,36,control,O,17,0,50,0,0,
1,1,frog,M,17.5,0,14,0,0.72,
1,2,newt,F,17.5,0,20,0,0.6,turbid
1,3,control,O,17.5,0,26,0,0.48,turbid
1,4,newt,F,17.5,0,46,0,0.08,
1,5,newt,M,17.5,0,23,0,0.54,turbid
1,6,newt,F,17.5,0,18,0,0.64,
1,7,frog,M,17.5,0,12,0,0.76,
1,8,frog,M,17.5,0,16,0,0.68,turbid
1,9,control,O,17.5,4,39,4,0.15,turbid
1,10,control,O,20,0,45,0,0.1,
1,11,control,O,19.5,0,42,0,0.16,turbid
1,12,frog,M,19,0,23,0,0.54,
1,13,control,O,19,0,40,0,0.2,
