Time,Cosm,Predator,Sex,Temperature,Adult,Larvae,Adult_cumulative,MR
0,2,newt,F,17.5,0,40,0,0
0,9,control,O,17.5,0,40,0,0
0,14,control,O,17.5,0,40,0,0
0,18,frog,M,17.5,0,40,0,0
0,23,newt,F,17,0,40,0,0
0,26,frog,F,17,0,40,0,0
0,28,newt,F,17,0,40,0,0
0,31,frog,M,17,0,40,0,0
0,36,control,O,17.5,0,40,0,0
1,2,newt,F,17.5,0,23,0,0.43
1,9,control,O,17.5,0,37,0,0.08
1,14,control,O,17.5,0,33,0,0.18
1,18,frog,M,17.5,0,17,0,0.58
1,23,newt,F,17,0,20,0,0.5
1,26,frog,F,17,0,16,0,0.6
1,28,newt,F,17,0,22,0,0.45
1,31,frog,M,17,0,26,0,0.35
1,36,control,O,17.5,0,36,0,0.1
2,2,newt,F,18,0,24,0,0.4
2,9,control,O,18,0,35,0,0.13
2,14,control,O,18.5,0,38,0,0.05
2,18,frog,M,18,0,14,0,0.65
2,23,newt,F,17.5,0,16,0,0.6
2,26,frog,F,17.5,0,15,0,0.63
2,28,newt,F,17.5,0,14,0,0.65
2,31,frog,M,17.5,0,18,0,0.55
2,36,control,O,17.5,1,36,1,0.08
4,2,newt,F,18,2,15,2,0.61
4,9,control,O,18,0,36,0,0.1
4,14,control,O,19,0,37,0,0.08
4,18,frog,M,18,1,14,1,0.64
4,23,newt,F,18,0,13,0,0.68
4,26,frog,F,18,0,13,0,0.68
4,28,newt,F,17.5,3,13,3,0.65
4,31,frog,M,17.5,0,16,0,0.6
4,36,control,O,18,3,32,4,0.11
8,2,newt,F,19,2,9,4,0.75
8,9,control,O,19.5,1,30,1,0.23
8,14,control,O,19,1,34,1,0.13
8,18,frog,M,18.5,0,13,1,0.67
8,23,newt,F,18.5,1,11,1,0.72
8,26,frog,F,18.5,0,9,0,0.78
8,28,newt,F,16.5,4,8,7,0.76
8,31,frog,M,17.5,2,13,2,0.66
8,36,control,O,18.5,0,34,4,0.06
22,2,newt,F,19,2,5,6,0.85
22,9,control,O,19,0,32,1,0.18
22,14,control,O,19,0,31,1,0.21
22,18,frog,M,19,0,5,1,0.87
22,23,newt,F,18.5,1,7,2,0.82
22,26,frog,F,18.5,4,4,4,0.89
22,28,newt,F,19,1,7,8,0.78
22,31,frog,M,18.5,4,8,6,0.76
22,36,control,O,18.5,14,17,18,0.23
48,2,newt,F,18.5,3,6,9,0.81
48,9,control,O,18,1,33,2,0.13
48,14,control,O,18.5,1,23,2,0.39
48,18,frog,M,18.5,0,5,1,0.87
48,23,newt,F,21,7,0,9,1
48,26,frog,F,23,1,2,5,0.94
48,28,newt,F,28.5,4,2,12,0.93
48,31,frog,M,24.5,2,2,8,0.94
48,36,control,O,18,0,18,18,0.18
56,2,newt,F,20,2,4,11,0.86
56,9,control,O,24.5,2,30,4,0.17
56,14,control,O,21,1,23,3,0.38
56,18,frog,M,20,0,5,1,0.87
56,23,newt,F,20,0,0,9,1
56,26,frog,F,20,0,2,5,0.94
56,28,newt,F,19.5,1,3,13,0.89
56,31,frog,M,20,1,1,9,0.97
56,36,control,O,20.5,2,15,20,0.25
72,2,newt,F,20,0,4,11,0.86
72,9,control,O,22,1,29,5,0.17
72,14,control,O,20,2,23,5,0.34
72,18,frog,M,19.5,0,4,1,0.9
72,23,newt,F,20,0,0,9,1
72,26,frog,F,20,0,2,5,0.94
72,28,newt,F,20,0,3,13,0.89
72,31,frog,M,20,0,1,9,0.97
72,36,control,O,20,1,15,21,0.21
