Cosm,Predator,Sex,Day,Rafts
1,frog,M,1,0
2,newt,F,1,0
3,control,O,1,0
4,newt,F,1,0
5,newt,M,1,0
6,newt,F,1,0
7,frog,M,1,0
8,frog,M,1,0
9,control,O,1,1
10,control,O,1,0
11,control,O,1,0
12,frog,M,1,0
13,control,O,1,0
14,control,O,1,0
15,newt,F,1,0
16,control,O,1,0
17,frog,F,1,0
18,frog,M,1,0
19,frog,M,1,0
20,newt,F,1,0
21,control,O,1,0
22,newt,M,1,0
23,newt,F,1,0
24,frog,F,1,0
25,control,O,1,1
26,frog,F,1,0
27,control,O,1,0
28,newt,F,1,0
29,control,O,1,0
30,control,O,1,1
31,frog,M,1,0
32,newt,F,1,0
33,control,O,1,0
34,frog,F,1,0
35,newt,F,1,0
36,control,O,1,0
1,frog,M,2,0
2,newt,F,2,0
3,control,O,2,0
4,newt,F,2,0
5,newt,M,2,0
6,newt,F,2,0
7,frog,M,2,0
8,frog,M,2,0
9,control,O,2,0
10,control,O,2,0
11,control,O,2,0
12,frog,M,2,0
13,control,O,2,0
14,control,O,2,0
15,newt,F,2,0
16,control,O,2,0
17,frog,F,2,0
18,frog,M,2,0
19,frog,M,2,0
20,newt,F,2,0
21,control,O,2,0
22,newt,M,2,0
23,newt,F,2,0
24,frog,F,2,0
25,control,O,2,0
26,frog,F,2,0
27,control,O,2,0
28,newt,F,2,0
29,control,O,2,0
30,control,O,2,1
31,frog,M,2,0
32,newt,F,2,0
33,control,O,2,0
34,frog,F,2,0
35,newt,F,2,0
36,control,O,2,0
1,frog,M,3,0
2,newt,F,3,0
3,control,O,3,0
4,newt,F,3,0
5,newt,M,3,0
6,newt,F,3,0
7,frog,M,3,0
8,frog,M,3,0
9,control,O,3,0
10,control,O,3,1
11,control,O,3,0
12,frog,M,3,0
13,control,O,3,0
14,control,O,3,0
15,newt,F,3,0
16,control,O,3,0
17,frog,F,3,0
18,frog,M,3,0
19,frog,M,3,0
20,newt,F,3,0
21,control,O,3,0
22,newt,M,3,0
23,newt,F,3,0
24,frog,F,3,0
25,control,O,3,0
26,frog,F,3,0
27,control,O,3,2
28,newt,F,3,0
29,control,O,3,0
30,control,O,3,1
31,frog,M,3,0
32,newt,F,3,0
33,control,O,3,0
34,frog,F,3,0
35,newt,F,3,0
36,control,O,3,0
1,frog,M,4,0
2,newt,F,4,0
3,control,O,4,0
4,newt,F,4,1
5,newt,M,4,0
6,newt,F,4,0
7,frog,M,4,0
8,frog,M,4,0
9,control,O,4,0
10,control,O,4,0
11,control,O,4,0
12,frog,M,4,0
13,control,O,4,0
14,control,O,4,0
15,newt,F,4,0
16,control,O,4,0
17,frog,F,4,0
18,frog,M,4,0
19,frog,M,4,0
20,newt,F,4,0
21,control,O,4,0
22,newt,M,4,0
23,newt,F,4,0
24,frog,F,4,0
25,control,O,4,0
26,frog,F,4,0
27,control,O,4,1
28,newt,F,4,0
29,control,O,4,0
30,control,O,4,1
31,frog,M,4,0
32,newt,F,4,0
33,control,O,4,0
34,frog,F,4,0
35,newt,F,4,0
36,control,O,4,0
1,frog,M,5,0
2,newt,F,5,0
3,control,O,5,0
4,newt,F,5,0
5,newt,M,5,0
6,newt,F,5,0
7,frog,M,5,0
8,frog,M,5,0
9,control,O,5,0
10,control,O,5,0
11,control,O,5,0
12,frog,M,5,0
13,control,O,5,0
14,control,O,5,0
15,newt,F,5,0
16,control,O,5,0
17,frog,F,5,0
18,frog,M,5,0
19,frog,M,5,0
20,newt,F,5,0
21,control,O,5,0
22,newt,M,5,0
23,newt,F,5,0
24,frog,F,5,0
25,control,O,5,0
26,frog,F,5,0
27,control,O,5,1
28,newt,F,5,0
29,control,O,5,0
30,control,O,5,1
31,frog,M,5,0
32,newt,F,5,0
33,control,O,5,0
34,frog,F,5,0
35,newt,F,5,0
36,control,O,5,0
1,frog,M,6,0
2,newt,F,6,0
3,control,O,6,0
4,newt,F,6,1
5,newt,M,6,0
6,newt,F,6,0
7,frog,M,6,0
8,frog,M,6,0
9,control,O,6,0
10,control,O,6,1
11,control,O,6,0
12,frog,M,6,0
13,control,O,6,0
14,control,O,6,0
15,newt,F,6,0
16,control,O,6,0
17,frog,F,6,0
18,frog,M,6,0
19,frog,M,6,0
20,newt,F,6,0
21,control,O,6,0
22,newt,M,6,0
23,newt,F,6,0
24,frog,F,6,0
25,control,O,6,0
26,frog,F,6,0
27,control,O,6,1
28,newt,F,6,0
29,control,O,6,0
30,control,O,6,0
31,frog,M,6,0
32,newt,F,6,0
33,control,O,6,0
34,frog,F,6,0
35,newt,F,6,0
36,control,O,6,0
1,frog,M,7,0
2,newt,F,7,0
3,control,O,7,0
4,newt,F,7,0
5,newt,M,7,1
6,newt,F,7,0
7,frog,M,7,0
8,frog,M,7,0
9,control,O,7,0
10,control,O,7,2
11,control,O,7,0
12,frog,M,7,0
13,control,O,7,0
14,control,O,7,0
15,newt,F,7,0
16,control,O,7,0
17,frog,F,7,0
18,frog,M,7,0
19,frog,M,7,0
20,newt,F,7,0
21,control,O,7,0
22,newt,M,7,0
23,newt,F,7,0
24,frog,F,7,0
25,control,O,7,0
26,frog,F,7,0
27,control,O,7,3
28,newt,F,7,0
29,control,O,7,0
30,control,O,7,1
31,frog,M,7,0
32,newt,F,7,0
33,control,O,7,0
34,frog,F,7,0
35,newt,F,7,0
36,control,O,7,0
1,frog,M,8,0
2,newt,F,8,0
3,control,O,8,0
4,newt,F,8,0
5,newt,M,8,0
6,newt,F,8,0
7,frog,M,8,0
8,frog,M,8,0
9,control,O,8,1
10,control,O,8,1
11,control,O,8,0
12,frog,M,8,0
13,control,O,8,0
14,control,O,8,0
15,newt,F,8,0
16,control,O,8,0
17,frog,F,8,0
18,frog,M,8,0
19,frog,M,8,0
20,newt,F,8,0
21,control,O,8,0
22,newt,M,8,0
23,newt,F,8,0
24,frog,F,8,0
25,control,O,8,0
26,frog,F,8,0
27,control,O,8,2
28,newt,F,8,0
29,control,O,8,0
30,control,O,8,1
31,frog,M,8,0
32,newt,F,8,0
33,control,O,8,0
34,frog,F,8,0
35,newt,F,8,0
36,control,O,8,0
1,frog,M,9,0
2,newt,F,9,0
3,control,O,9,0
4,newt,F,9,0
5,newt,M,9,0
6,newt,F,9,0
7,frog,M,9,0
8,frog,M,9,0
9,control,O,9,0
10,control,O,9,0
11,control,O,9,0
12,frog,M,9,0
13,control,O,9,0
14,control,O,9,0
15,newt,F,9,0
16,control,O,9,0
17,frog,F,9,0
18,frog,M,9,0
19,frog,M,9,0
20,newt,F,9,0
21,control,O,9,0
22,newt,M,9,0
23,newt,F,9,0
24,frog,F,9,0
25,control,O,9,0
26,frog,F,9,0
27,control,O,9,0
28,newt,F,9,0
29,control,O,9,0
30,control,O,9,0
31,frog,M,9,0
32,newt,F,9,0
33,control,O,9,0
34,frog,F,9,0
35,newt,F,9,0
36,control,O,9,0
1,frog,M,10,0
2,newt,F,10,0
3,control,O,10,0
4,newt,F,10,1
5,newt,M,10,0
6,newt,F,10,0
7,frog,M,10,0
8,frog,M,10,0
9,control,O,10,1
10,control,O,10,1
11,control,O,10,0
12,frog,M,10,0
13,control,O,10,0
14,control,O,10,0
15,newt,F,10,0
16,control,O,10,0
17,frog,F,10,0
18,frog,M,10,0
19,frog,M,10,0
